LON      	LAT     	DEPTH	MAG 	MAGxMAG	EVENTID	AUTHOR   	DATE      	TIME       	DEPFIX	DEPQUAL	AUTHOR   	TYPE  						
-77.03	-5.673	25	4.8	23.04	615789666	ISC-EHB  	8/07/1968	45:48.0	TRUE  	L3     	ISC      	mb    						
-77.383	-5.722	21.5	5	25	615789708	ISC-EHB  	16/07/1968	18:44.3	      	L1     	ISC      	mb    						
-77.719	-2.501	23.4	4.9	24.01	615789752	ISC-EHB  	24/07/1968	31:35.7	      	L1     	ISC      	mb    						
-74.34	-8.606	154.8	5.1	26.01	615789762	ISC-EHB  	26/07/1968	00:05.6	      	L1     	ISC      	mb    						
-77.223	-5.648	20	5	25	615789775	ISC-EHB  	28/07/1968	36:09.4	TRUE  	L3     	ISC      	mb    						
-80.435	-6.936	28.4	5.9	34.81	615789796	ISC-EHB  	30/07/1968	38:42.2	      	L1     	ISC      	mb    	ISC      	MS    	6.2			
-76.932	-12.939	41.5	4.4	19.36	615789831	ISC-EHB  	5/08/1968	23:42.0	      	L1     	ISC      	mb    						
-73.953	-15.193	89.8	5.7	32.49	615789889	ISC-EHB  	11/08/1968	41:53.8	      	L1     	ISC      	mb    						
-77.375	-5.805	20	5	25	615789997	ISC-EHB  	27/08/1968	19:15.4	TRUE  	L3     	ISC      	mb    						
-72.891	-8.878	27.9	4.9	24.01	615789996	ISC-EHB  	27/08/1968	17:35.1	      	L1     	ISC      	mb    						
-80.298	-5.771	65.3	5.4	29.16	615790070	ISC-EHB  	6/09/1968	49:43.5	      	L1     	ISC      	mb    						
-77.233	-5.526	24.8	5	25	615790079	ISC-EHB  	7/09/1968	41:55.1	      	L1     	ISC      	mb    						
-74.459	-8.699	143.4	6	36	615790092	ISC-EHB  	9/09/1968	37:47.3	      	L1     	ISC      	mb    						
-74.513	-8.697	145.5	5.4	29.16	615790091	ISC-EHB  	9/09/1968	35:19.9	      	L1     	ISC      	mb    						
-76.345	-13.149	69.3	6	36	615790197	ISC-EHB  	28/09/1968	53:36.7	      	L1     	ISC      	mb    						
-77.655	-1.508	181.6	4.4	19.36	615790272	ISC-EHB  	12/10/1968	54:39.5	      	L1     	ISC      	mb    						
-74.809	-10.02	30.2	4.9	24.01	615790281	ISC-EHB  	13/10/1968	34:26.0	      	L1     	ISC      	mb    						
-80.971	-4.172	35	4.7	22.09	615790309	ISC-EHB  	18/10/1968	59:20.0	TRUE  	L3     	ISC      	mb    						
-73.414	-16.365	43.3	5.7	32.49	615790383	ISC-EHB  	31/10/1968	15:46.1	      	L1     	ISC      	mb    						
-80.605	-4.174	39.7	4.7	22.09	615790427	ISC-EHB  	7/11/1968	17:14.8	      	L1     	ISC      	mb    						
-73.471	-16.379	47.9	4.9	24.01	615790423	ISC-EHB  	7/11/1968	13:41.4	      	L1     	ISC      	mb    						
-77.481	-1.166	204	4.7	22.09	615790438	ISC-EHB  	9/11/1968	23:36.6	      	L1     	ISC      	mb    						
-76.828	-2.719	126.3	4.8	23.04	615790525	ISC-EHB  	30/11/1968	48:01.7	      	L1     	ISC      	mb    						
-74.826	-10.616	35	5.4	29.16	615790527	ISC-EHB  	1/12/1968	14:56.4	TRUE  	L1     	ISC      	mb    						
-69.418	-17.372	175.1	4.8	23.04	615790627	ISC-EHB  	27/12/1968	04:53.0	      	L1     	ISC      	mb    						
-81.383	-8.713	15	5.1	26.01	615790632	ISC-EHB  	28/12/1968	41:40.3	TRUE  	L3     	ISC      	mb    						
-70.734	-16.036	15	5.1	26.01	615790648	ISC-EHB  	30/12/1968	39:16.5	TRUE  	L3     	ISC      	mb    						
-70.649	-18.542	39	4.9	24.01	615791340	ISC-EHB  	6/01/1969	18:29.2	      	L1     	ISC      	mb    						
-72.732	-14.025	91.5	5.1	26.01	615791360	ISC-EHB  	12/01/1969	12:52.6	      	L1     	ISC      	mb    						
-80.109	-8.121	36.8	5.9	34.81	615791486	ISC-EHB  	4/02/1969	10:18.2	      	L1     	ISC      	mb    	ISC      	MS    	6			
-79.934	-8.294	52.2	5	25	615791521	ISC-EHB  	14/02/1969	40:36.6	      	L2     	ISC      	mb    						
-75.479	-8.971	129	4.5	20.25	615791562	ISC-EHB  	21/02/1969	52:09.4	      	L1     	ISC      	mb    						
-76.429	-2.531	144.2	4.5	20.25	615791567	ISC-EHB  	22/02/1969	19:23.1	      	L1     	ISC      	mb    						
-74.494	-14.148	102	5.1	26.01	615791594	ISC-EHB  	27/02/1969	09:30.3	      	L1     	ISC      	mb    						
